Student_Name,Course_Count
Alice Azure,21
Alice Beige,25
Alice Black,28
Alice Blue,29
Alice Brown,24
Alice Cyan,33
Alice Davis,23
Alice Gray,29
Alice Green,26
Alice Indigo,27
Alice Johnson,16
Alice Magenta,23
Alice Orange,30
Alice Pink,29
Alice Purple,22
Alice Red,27
Alice Teal,29
Alice Violet,31
Alice White,19
Alice Yellow,26
Bob Azure,25
Bob Beige,27
Bob Black,24
Bob Blue,23
Bob Brown,30
Bob Cyan,17
Bob Davis,24
Bob Gray,26
Bob Green,23
Bob Indigo,27
Bob Johnson,25
Bob Magenta,35
Bob Orange,30
Bob Pink,28
Bob Purple,29
Bob Red,24
Bob Teal,29
Bob Violet,41
Bob White,21
Bob Yellow,29
Charlie Azure,23
Charlie Beige,27
Charlie Black,32
Charlie Blue,19
Charlie Brown,21
Charlie Cyan,26
Charlie Davis,25
Charlie Gray,28
Charlie Green,19
Charlie Indigo,27
Charlie Johnson,30
Charlie Magenta,32
Charlie Orange,23
Charlie Pink,28
Charlie Purple,27
Charlie Red,29
Charlie Teal,26
Charlie Violet,27
Charlie White,23
Charlie Yellow,27
Dana Azure,20
Dana Beige,17
Dana Black,29
Dana Blue,27
Dana Brown,29
Dana Cyan,28
Dana Davis,28
Dana Gray,26
Dana Green,17
Dana Indigo,23
Dana Johnson,28
Dana Magenta,18
Dana Orange,17
Dana Pink,22
Dana Purple,18
Dana Red,24
Dana Teal,22
Dana Violet,19
Dana White,32
Dana Yellow,30
Eve Azure,20
Eve Beige,23
Eve Black,26
Eve Blue,32
Eve Brown,26
Eve Cyan,25
Eve Davis,23
Eve Gray,24
Eve Green,30
Eve Indigo,18
Eve Johnson,30
Eve Magenta,16
Eve Orange,32
Eve Pink,28
Eve Purple,15
Eve Red,29
Eve Teal,23
Eve Violet,29
Eve White,15
Eve Yellow,25
Frank Azure,22
Frank Beige,17
Frank Black,20
Frank Blue,31
Frank Brown,19
Frank Cyan,26
Frank Davis,16
Frank Gray,30
Frank Green,23
Frank Indigo,24
Frank Johnson,30
Frank Magenta,17
Frank Orange,16
Frank Pink,30
Frank Purple,26
Frank Red,33
Frank Teal,29
Frank Violet,24
Frank White,23
Frank Yellow,18
Grace Azure,19
Grace Beige,24
Grace Black,18
Grace Blue,28
Grace Brown,30
Grace Cyan,25
Grace Davis,29
Grace Gray,25
Grace Green,29
Grace Indigo,25
Grace Johnson,17
Grace Magenta,32
Grace Orange,26
Grace Pink,20
Grace Purple,24
Grace Red,24
Grace Teal,27
Grace Violet,25
Grace White,22
Grace Yellow,34
Hank Azure,19
Hank Beige,26
Hank Black,19
Hank Blue,24
Hank Brown,16
Hank Cyan,24
Hank Davis,26
Hank Gray,20
Hank Green,30
Hank Indigo,19
Hank Johnson,18
Hank Magenta,24
Hank Orange,19
Hank Pink,26
Hank Purple,23
Hank Red,16
Hank Teal,30
Hank Violet,17
Hank White,21
Hank Yellow,24
Ivy Azure,26
Ivy Beige,21
Ivy Black,30
Ivy Blue,25
Ivy Brown,20
Ivy Cyan,23
Ivy Davis,22
Ivy Gray,31
Ivy Green,25
Ivy Indigo,24
Ivy Johnson,33
Ivy Magenta,20
Ivy Orange,17
Ivy Pink,34
Ivy Purple,28
Ivy Red,24
Ivy Teal,18
Ivy Violet,18
Ivy White,37
Ivy Yellow,20
Jack Azure,25
Jack Beige,25
